brand,category,condition,size,sample_size,avg_price,median_price,min_price,max_price,avg_days_listed,avg_days_to_disappear
boohoo,womens_dresses,very good,xl,21,4.47,3.5,2.0,10.0,4.7,5.6
adidas,brand_adidas,very good,9 years,20,5.8,5.0,3.0,14.0,3.0,5.2
shein,womens_jumpers_and_sweaters,very good,l,20,3.15,3.0,1.0,6.0,8.7,5.1
nike,brand_nike,very good,8.5,20,32.95,30.0,5.0,60.0,5.1,3.9
nike,activewear,new without tags,l,20,13.15,10.0,4.0,50.0,3.0,5.2
new look,womens_dresses,very good,xs,20,4.15,3.5,1.0,12.0,5.1,5.5
polo ralph lauren,brand_polo_ralph_lauren,new without tags,l,20,23.13,19.34,6.0,85.0,2.7,5.4
marks & spencer,womens_tops_and_tshirts,very good,xl,20,3.31,3.0,1.25,8.0,2.0,5.1
polo ralph lauren,brand_ralph_lauren_hoodie,new without tags,m,20,36.26,30.0,10.0,75.0,2.9,5.8
nike,brand_nike_tracksuit,new with tags,s,20,34.68,33.83,11.0,75.0,1.9,5.5
allsaints,jumpers_and_sweaters,very good,m,20,10.85,10.0,6.0,25.0,2.2,5.3
nike,activewear,new with tags,m,20,21.2,18.99,8.0,60.0,3.5,5.1
marks & spencer,womens_dresses,new with tags,m,20,10.91,8.0,3.5,22.0,2.5,5.2
ego,womens_dresses,very good,s,20,9.3,10.0,3.0,20.0,5.2,5.4
zara,womens_jeans,new with tags,s,20,12.53,13.0,4.0,25.0,2.9,4.8
polo ralph lauren,brand_polo_ralph_lauren,very good,6 years,20,10.16,9.11,4.0,22.99,4.1,6.8
unknown,brand_polo_ralph_lauren,very good,unknown,20,26.75,15.0,3.0,145.0,2.5,5.1
palace,brand_palace,good,s,20,26.37,22.5,4.5,60.0,7.5,8.3
levi's,jeans,good,w34,20,11.45,10.25,6.0,24.0,3.8,6.2
nike,shoes,good,6,20,14.42,11.0,1.0,50.0,5.4,6.6
zara,womens_skorts,new with tags,xs,20,12.78,10.0,5.0,45.0,4.7,7.3
prettylittlething,womens_jeans,very good,m,20,6.17,4.5,2.0,20.0,5.2,4.6
ralph lauren,brand_ralph_lauren_shirt,very good,3 years,20,7.05,6.0,3.0,15.0,2.7,5.3
zara,womens_outerwear,new without tags,m,20,17.3,17.5,4.0,35.0,2,5.2
uniqlo,outerwear,very good,m,20,26.22,18.75,8.0,65.0,3.6,5.0
papaya,womens_tops_and_tshirts,very good,m,20,2.52,1.5,1.0,10.5,4.3,5.3
polo ralph lauren,brand_ralph_lauren_hoodie,new with tags,m,20,71.78,85.0,27.0,90.0,8.7,8.2
adidas,shoes,very good,11,20,30.31,30.0,12.0,79.99,4,6.5
supreme,brand_supreme_t_shirt,new without tags,m,20,24.9,23.5,7.0,45.0,10.1,7.1
levi strauss & co.,brand_levis,very good,s,20,16.27,13.99,8.0,45.0,2.1,6.2
carhartt wip,brand_carhartt_jacket,very good,m,20,59.54,50.0,15.0,150.0,6.5,7.0
hollister,womens_jeans,very good,s,20,10.6,9.0,3.0,24.0,4.9,4.5
nike air,brand_nike_air_max_95,good,7,20,24.62,25.0,10.99,40.0,8,7.1
primark,womens_skorts,new without tags,s,20,3.19,3.0,1.0,10.0,5.9,7.5
palace,brand_palace,very good,unknown,20,18.75,20.0,5.0,30.0,3.5,9.5
primark,womens_dresses,very good,s,20,3.02,2.5,1.0,8.0,5.2,5.6
carhartt,brand_carhartt,very good,xs,20,19.91,17.0,6.0,50.0,5.9,6.4
tu,womens_dresses,very good,l,19,2.89,3.0,1.0,4.0,2.7,4.4
adidas,shoes,very good,9,19,23.65,20.0,6.0,74.99,3.2,5.1
nike,brand_nike,good,5.5,19,12.23,6.5,3.0,35.0,3.4,5.3
next,outerwear,very good,m,19,7.82,8.0,2.5,12.0,5.7,5.7
adidas,trousers,very good,s,19,7.84,6.0,2.0,23.0,4.3,5.6
topshop,womens_jeans,very good,s,19,4.16,3.0,1.5,10.0,4.9,5.8
adidas,brand_adidas_shoes,good,7 child | eu 24,19,6.05,6.0,3.0,10.0,3.1,5.2
adidas,brand_adidas_shoes,good,13 child | eu 32,19,5.29,5.0,3.0,12.0,4.8,6.6
barbour,outerwear,very good,l,19,41.89,30.0,15.0,115.0,3.6,4.4
carhartt,brand_carhartt,very good,w33,19,20.49,20.0,8.0,30.0,2.2,5.8
carhartt,brand_carhartt_jacket,new without tags,xl,19,46.53,40.0,22.44,120.0,5.1,6.8
berghaus,activewear,very good,l,19,22.21,25.0,10.0,34.0,1.2,3.6
denim co,shorts,very good,w34,19,2.91,2.0,1.0,10.0,2.9,4.9
h&m,brand_hm,very good,8 years,19,4.61,3.0,3.0,18.67,4.6,5.7
levi's,womens_jeans,very good,l,19,14.18,11.0,4.0,50.0,4.2,4.7
unknown,brand_hm,new without tags,unknown,19,5.63,4.0,3.0,15.0,3.6,5.0
nike,jumpers_and_sweaters,good,m,19,6.41,6.0,2.0,11.99,3.8,5.9
bershka,brand_bershka,new without tags,l,19,7.95,6.0,3.0,25.0,3.3,5.7
nike,outerwear,very good,xl,19,21.68,20.0,6.0,45.0,3.2,4.7
pull & bear,womens_jeans,very good,m,19,6.39,5.0,1.0,20.0,3.1,5.1
next,womens_tops_and_tshirts,very good,xl,19,3.26,2.5,1.0,8.0,6.3,4.8
h&m,brand_hm,very good,other,19,6.63,5.0,3.0,15.0,3.7,5.9
marks & spencer,womens_jeans,new without tags,m,19,8.38,8.0,3.0,23.0,1.7,4.9
polo ralph lauren,brand_polo_ralph_lauren,very good,10 years,19,9.16,9.5,3.0,15.0,4.1,5.9
marks & spencer,womens_outerwear,very good,xl,19,11.63,10.0,3.5,40.0,3.1,4.7
george,womens_outerwear,very good,l,19,5.18,5.0,2.0,10.0,5.9,5.0
zara,womens_tops_and_tshirts,new without tags,m,19,6.26,5.0,2.99,15.5,4.3,5.2
h&m,brand_hm,very good,xxs,19,6.11,4.0,3.0,30.0,3,4.7
nike,brand_nike_tracksuit,new with tags,xl,19,33.74,30.0,10.0,69.99,1.3,5.3
nike,brand_nike_tracksuit,very good,13 years,19,9.53,10.0,3.0,22.0,4.1,5.4
polo ralph lauren,brand_polo_ralph_lauren,very good,5 years,19,10.91,10.0,3.0,28.99,5.1,5.9
adidas,brand_adidas_shoes,good,4 junior | eu 37,19,6.82,5.0,3.0,15.0,5.3,6.8
the north face,outerwear,good,m,19,16.98,15.0,6.0,45.0,3.9,5.4
fred perry,jumpers_and_sweaters,very good,m,19,21.34,20.0,9.99,45.0,3.6,6.2
f&f,womens_dresses,very good,l,19,3.7,3.0,1.3,10.0,3.1,5.3
shein,womens_tops_and_tshirts,very good,xl,19,1.95,2.0,1.0,5.0,6,5.8
polo ralph lauren,brand_polo_ralph_lauren,very good,8 years,19,9.05,7.0,3.0,20.0,4.1,6.3
bershka,brand_bershka,very good,5,19,11.95,12.0,3.0,25.0,4,4.9
joules,womens_dresses,very good,m,19,6.21,4.0,3.0,16.0,2.9,5.4
h&m,womens_tops_and_tshirts,very good,xs,19,4.1,3.0,1.0,10.0,8.6,5.9
lacoste,tops_and_tshirts,very good,xl,19,10.0,10.0,5.0,20.0,2.1,5.3
palace,brand_palace_hoodie,new without tags,l,19,65.32,60.0,28.0,125.0,10.7,8.5
supreme,brand_supreme,new with tags,s,19,51.43,48.62,4.99,115.0,3.5,6.3
next,womens_dresses,very good,xl,19,4.53,4.0,2.0,12.0,1,5.7
nike,brand_nike,new with tags,s,19,16.77,12.0,6.0,49.99,3.4,4.3
nike,brand_nike_hoodie,good,xxl,19,7.64,6.0,3.0,13.0,2.4,5.4
vintage dressing,jumpers_and_sweaters,very good,m,19,16.26,18.0,5.0,18.0,3.3,4.8
asics,shoes,very good,10,19,48.56,50.0,20.0,68.99,2.3,4.5
regatta,womens_outerwear,very good,m,19,9.14,5.0,3.0,37.5,2.2,4.8
palace,brand_palace_hoodie,new without tags,s,19,57.4,40.0,20.0,160.0,11.2,8.3
george,womens_jeans,very good,m,19,3.5,2.0,1.0,23.0,4.1,5.0
supreme,brand_supreme_shirt,new with tags,l,19,54.89,55.0,20.0,95.0,4.1,7.0
adidas,brand_adidas_shoes,good,3,19,10.39,10.0,4.0,22.0,4.6,5.8
h&m,womens_skorts,very good,m,19,4.58,4.0,2.0,12.0,6.6,6.1
new look,womens_skorts,very good,m,19,3.26,2.0,2.0,8.0,4.3,8.4
superdry,womens_jumpers_and_sweaters,very good,m,19,5.68,6.0,3.0,10.0,2.4,4.7
river island,womens_skorts,very good,m,19,6.89,6.0,3.0,15.0,3.7,6.5
nike,mens_activewear,very good,m,18,23.58,19.25,3.0,65.0,15.7,7.6
diesel,jeans,very good,w32,18,25.94,15.0,8.0,85.0,6.1,4.8
carhartt wip,brand_carhartt_t_shirt,very good,l,18,15.14,15.0,10.0,28.0,4.4,5.6
hollister,womens_tops_and_tshirts,very good,xs,18,9.86,7.5,1.0,40.0,3.5,4.6
adidas,brand_adidas_shoes,new with tags,7,18,37.13,37.0,12.5,70.0,2.6,5.3
allsaints,tops_and_tshirts,very good,m,18,7.61,6.5,3.0,15.0,2.6,3.8
river island,womens_jeans,very good,l,18,5.19,4.75,2.0,12.0,3,4.9
adidas,brand_adidas,very good,7 years,18,6.39,5.0,3.0,15.0,2.6,4.9
nike,brand_nike,new without tags,l,18,9.17,5.5,3.0,39.0,1.3,4.5
polo ralph lauren,brand_polo_ralph_lauren,new without tags,s,18,17.92,15.5,5.0,38.0,2.9,5.5
ralph lauren,jumpers_and_sweaters,very good,m,18,33.27,31.75,11.0,57.5,3.8,4.2
polo ralph lauren,brand_ralph_lauren_polo_shirt,new without tags,s,18,14.53,10.5,5.0,40.0,2.7,5.5
h&m divided,brand_hm,very good,m,18,4.5,4.0,3.0,9.0,4.2,4.6
asos design,womens_dresses,very good,l,18,6.16,5.0,3.5,15.0,3.1,5.5
unknown,brand_adidas,new with tags,unknown,18,8.25,6.5,3.0,28.5,2.5,4.2
levi's,brand_levis,good,xs,18,7.28,5.5,3.0,25.0,3.5,6.5
levi's,brand_levis,good,w31,18,11.22,10.0,4.0,20.0,4.8,5.6
george,womens_outerwear,very good,s,18,4.67,4.0,1.0,15.0,3.3,4.9
tu,womens_jeans,very good,l,18,4.64,4.0,1.0,10.5,4.3,5.2
next,trousers,very good,w32,18,4.49,3.0,2.0,11.0,6.4,5.4
m&s collection,womens_jumpers_and_sweaters,very good,m,18,5.0,4.5,2.0,10.5,0.8,4.9
f&f,womens_outerwear,very good,l,18,7.61,5.5,2.0,20.0,2.8,4.8
zara,womens_dresses,new with tags,m,18,18.94,17.49,1.5,40.0,5.2,5.6
nike,shorts,very good,l,18,9.0,5.0,4.0,28.0,4.6,6.1
carhartt,brand_carhartt,good,w40,18,17.94,15.5,3.5,50.99,6.6,5.0
new look,womens_dresses,new without tags,m,18,5.31,4.0,2.0,12.0,6.3,4.8
superdry,outerwear,very good,m,18,15.33,14.97,6.0,30.0,3.6,5.0
unknown,womens_tops_and_tshirts,new without tags,s,18,6.22,5.0,1.0,19.0,3.6,5.0
adidas,brand_adidas_shoes,new without tags,6,18,26.22,25.5,7.0,65.0,3.6,5.1
new balance,shoes,very good,8,18,37.11,34.48,21.0,65.0,1.4,5.5
adidas,brand_adidas_shoes,very good,5 junior | eu 38,18,12.86,10.0,5.0,39.99,5.6,5.9
adidas,trousers,very good,xl,18,14.75,14.0,3.0,37.0,6.4,5.5
zara,womens_tops_and_tshirts,good,s,18,3.83,4.0,2.0,6.5,6.2,5.9
zara,outerwear,very good,xl,18,13.19,11.0,8.0,35.0,2.6,5.2
marks & spencer,outerwear,very good,xl,18,11.58,10.0,3.0,30.0,3.3,6.0
ralph lauren,brand_ralph_lauren_shirt,new with tags,m,18,27.86,27.0,10.0,45.0,2.9,5.3
arne,outerwear,very good,l,18,14.36,14.0,8.0,30.0,2,5.2
unknown,outerwear,very good,m,18,19.11,15.0,6.0,70.0,3.1,5.3
nike,brand_nike_tracksuit,very good,12 years,18,8.47,7.0,4.0,20.0,3.1,4.4
hobbs,womens_dresses,very good,m,18,14.61,11.5,6.0,40.0,3.4,5.3
levi's,brand_levis,very good,w28,18,14.44,15.5,5.0,25.0,6.2,5.6
primark,womens_skorts,very good,xs,18,2.53,2.0,1.0,5.0,8.6,7.1
motel rocks,womens_jeans,very good,s,18,23.06,22.5,12.0,38.0,2.3,4.2
nike,brand_nike_tech_fleece_trousers,new with tags,m,18,49.47,40.0,17.5,80.0,7.4,7.1
supreme,brand_supreme_hoodie,new with tags,s,18,76.75,62.6,25.0,200.0,6.2,6.3
palace,brand_palace_hoodie,new with tags,m,18,113.61,105.0,45.0,200.0,9.3,8.8
shein,womens_skorts,very good,xl,18,2.25,2.0,1.0,4.5,7.3,6.9
ralph lauren,brand_ralph_lauren_polo_shirt,new without tags,s,18,17.61,16.0,6.0,45.0,2.8,5
polo ralph lauren,brand_polo_ralph_lauren,very good,7 years,18,10.96,11.0,3.5,20.0,4.3,6.6
unknown,jumpers_and_sweaters,very good,l,17,7.59,6.0,1.0,18.5,4.5,4.9
barbour,womens_outerwear,very good,m,17,57.32,37.5,15.0,160.0,5.2,3.9
h&m,womens_jeans,very good,xs,17,4.82,4.0,1.5,10.0,5.2,5.3
urban outfitters,womens_tops_and_tshirts,very good,m,17,5.44,5.0,3.0,9.0,5.2,4.7
shein,womens_dresses,new without tags,xl,17,3.41,3.0,1.0,9.0,7.5,5.3
vintage dressing,womens_outerwear,very good,m,17,36.2,30.0,10.0,100.0,7.5,4.1
george,womens_jumpers_and_sweaters,very good,m,17,3.79,3.0,1.0,10.0,6.2,4.8
castore,activewear,very good,l,17,10.12,8.0,4.0,35.0,3.3,4.2
marks & spencer,womens_dresses,new with tags,s,17,12.0,8.0,3.0,28.0,5.1,5.2
adidas,brand_adidas_shoes,new with tags,10,17,38.32,30.0,11.0,80.0,4.1,5.4
adidas,brand_adidas_shoes,good,7.5,17,13.94,12.0,5.0,40.0,3.2,5.9
adidas,brand_adidas_shoes,new with tags,6.5,17,43.23,40.0,19.95,90.0,3.7,5.7
crew clothing company,jumpers_and_sweaters,very good,l,17,12.82,10.0,3.9,25.0,1.7,4.6
ralph lauren,brand_ralph_lauren_shirt,very good,4 years,17,7.74,8.0,4.0,12.0,4.5,6.2
warehouse,womens_dresses,very good,s,17,7.72,7.5,3.0,24.0,6.2,5.8
marks & spencer,trousers,very good,w38,17,5.6,4.0,2.0,19.99,4.5,5.1
hollister,womens_jeans,very good,m,17,9.48,10.0,4.0,20.0,3.7,4.9
the north face,womens_outerwear,good,s,17,21.57,10.0,2.0,79.99,2.7,6.2
zara,womens_outerwear,new with tags,m,17,33.35,35.0,12.0,65.0,2,5.3
prettylittlething,womens_outerwear,very good,s,17,6.74,6.0,4.0,15.0,2.3,5.2
levi's,jeans,very good,w29,17,14.44,10.0,6.0,65.0,3,4.8
papaya,womens_jeans,very good,m,17,3.35,3.0,1.0,6.5,4.3,5.4
nike air,brand_nike_air_max_95,good,9,17,26.94,29.0,10.0,45.0,7.2,10.2
asos design,womens_tops_and_tshirts,very good,s,17,4.56,4.5,2.0,9.0,5.1,4.9
mountain warehouse,womens_outerwear,very good,m,17,8.65,5.0,3.0,38.0,3.8,5.7
tommy hilfiger,tops_and_tshirts,very good,xl,17,11.16,10.0,5.0,20.0,3.6,4.5
nike,activewear,new without tags,xl,17,12.0,12.0,3.0,30.0,4.7,4.9
nike,brand_nike_tech_fleece_trousers,satisfactory,m,17,7.2,6.0,3.0,25.0,6.4,6.1
unknown,womens_skorts,very good,s,17,4.16,4.0,2.0,8.05,6.2,6.3
next,jeans,very good,w30,17,5.21,3.0,2.0,30.0,3.3,7.0
adidas,brand_adidas_shoes,very good,12,17,28.01,25.0,7.0,72.0,3.5,4.4
polo ralph lauren,brand_polo_ralph_lauren,good,xxl,17,20.87,10.0,4.75,150.0,2.9,7.1
adidas,brand_adidas_shoes,good,2 junior | eu 34,17,5.18,5.0,3.0,15.0,2.9,6.0
calvin klein jeans,jeans,very good,w32,17,8.31,7.75,3.0,25.0,3.2,4.6
nike,jumpers_and_sweaters,good,l,17,7.0,6.0,2.0,19.99,3.4,5.8
nike,brand_nike,very good,6 baby | eu 23,17,9.93,7.0,3.0,28.0,3,5.0
nike,brand_nike_tracksuit,very good,3 years,17,7.0,6.0,3.0,13.5,2.8,4.3
polo ralph lauren,brand_polo_ralph_lauren,very good,w32,17,21.61,20.0,8.0,45.0,6.6,6.0
adidas,activewear,new with tags,l,17,19.29,15.0,8.0,38.0,4.4,4.5
joules,womens_jumpers_and_sweaters,very good,m,17,11.0,10.0,3.0,22.0,2.2,5.2
nike,brand_nike,new without tags,xl,17,6.66,6.0,3.19,12.0,1.8,4.8
hollister,womens_jumpers_and_sweaters,very good,m,17,10.97,10.0,3.5,26.0,2.3,4.1
diesel,jeans,very good,w34,17,15.21,15.0,10.0,30.0,3,6.1
boden,womens_dresses,very good,m,17,10.91,10.0,4.0,23.0,4.6,5.4
bershka,womens_skorts,very good,s,17,6.55,6.0,2.0,15.0,6.8,7.7
polo ralph lauren,brand_polo_ralph_lauren,very good,4 years,17,6.88,6.0,3.0,10.0,4.4,6.1
nike,shoes,new with tags,10,17,49.94,42.99,10.0,145.0,2.4,4.8
new look,womens_outerwear,new without tags,m,17,9.65,6.0,2.0,28.0,3.5,5.1
carhartt wip,brand_carhartt_t_shirt,very good,xl,17,15.02,15.0,10.0,25.0,4.3,5.9
ralph lauren,brand_ralph_lauren_hoodie,very good,xxl,17,25.85,22.5,6.0,48.0,5.6,6.8
stradivarius,womens_tops_and_tshirts,very good,s,17,3.87,3.0,1.85,10.0,3.9,4.5
george,womens_dresses,very good,xl,17,2.82,3.0,2.0,5.0,4.6,5.5
nike,brand_nike,good,4,17,8.26,5.5,3.0,35.0,1.5,5.3
adanola,womens_jumpers_and_sweaters,very good,s,17,25.59,22.0,14.0,40.0,1.5,4.0
asos design,womens_tops_and_tshirts,very good,m,17,5.18,3.0,2.0,20.0,3.4,4.9
zara,womens_dresses,new without tags,s,17,11.04,7.5,3.0,30.0,4.6,4.8
primark,womens_skorts,very good,l,17,2.37,2.0,1.0,4.0,5,6.3
marks & spencer,womens_tops_and_tshirts,new without tags,l,17,5.82,4.0,2.0,24.0,3.5,4.2
levi's,brand_levis,good,other,17,7.47,7.0,4.0,15.0,4.3,5.6
nike air,brand_nike_air_max_95,good,5.5,17,13.05,12.0,3.0,30.0,10.4,8.6
supreme,brand_supreme_hoodie,good,xl,17,59.09,41.0,21.0,139.99,10.4,9.2
per una,womens_jumpers_and_sweaters,very good,m,16,7.94,5.5,2.5,25.0,3.9,4.3
under armour,trousers,very good,m,16,8.37,10.0,3.0,12.99,1.2,4.2
new look,womens_dresses,good,m,16,2.34,2.5,1.0,5.0,5.2,6.0
vintage dressing,womens_dresses,very good,s,16,8.06,8.0,5.0,13.0,6.8,7.3
unknown,womens_dresses,new without tags,s,16,6.72,6.5,2.0,13.0,9.2,6.0
nike air,brand_nike_air_max_95,good,8,16,27.44,26.5,10.0,50.0,5.2,7.6
nike,brand_nike,new with tags,l,16,18.81,12.0,7.0,59.99,1.5,4.5
montirex,activewear,good,m,16,7.28,5.0,2.0,31.0,4.9,6.3
tu,womens_tops_and_tshirts,very good,m,16,3.56,3.0,1.0,8.0,4.1,5.3
zara,trousers,very good,l,16,7.09,6.0,3.5,12.0,2.8,5.5
tommy hilfiger,tops_and_tshirts,very good,m,16,8.4,6.0,3.0,16.95,2.9,4.6
fred perry,tops_and_tshirts,very good,l,16,12.44,9.5,2.99,30.0,2.6,4.1
berghaus,activewear,very good,m,16,22.59,25.0,5.5,50.0,1.1,4.1
f&f,womens_outerwear,very good,xl,16,7.94,5.0,3.0,20.0,3.9,6.4
adidas,brand_adidas_shoes,new with tags,4,16,32.86,29.5,8.0,65.0,3.3,5.4
nike,brand_nike,good,9,16,16.19,15.0,5.0,39.0,2.6,4.1
polo ralph lauren,brand_ralph_lauren_shirt,good,l,16,11.08,10.5,3.0,20.0,2.2,4.2
unknown,womens_dresses,new without tags,m,16,9.47,5.0,1.5,50.0,6.4,4.8
lipsy,womens_dresses,very good,l,16,6.14,5.0,2.0,15.0,3.9,5.0
nike,activewear,new without tags,s,16,10.08,7.5,3.0,30.0,3.6,6.0
shein,womens_outerwear,very good,s,16,4.72,3.1,2.0,16.0,5.2,5.5
f&f,womens_jeans,very good,s,16,3.84,4.0,1.0,6.0,3.3,4.4
unknown,jumpers_and_sweaters,very good,m,16,11.49,8.5,2.0,55.0,4.6,6.4
george,womens_jumpers_and_sweaters,very good,l,16,3.16,2.75,1.0,8.0,4.6,5.2
uniqlo,womens_outerwear,very good,m,16,14.41,12.0,5.0,42.99,2.5,4.5
nike,shoes,very good,12,16,33.72,25.0,8.98,110.0,4.6,4.3
joules,womens_tops_and_tshirts,very good,m,16,7.19,4.0,2.0,25.0,2.5,3.8
george,womens_tops_and_tshirts,very good,m,16,2.38,2.0,1.0,5.0,5.2,5.2
papaya,womens_tops_and_tshirts,very good,l,16,2.0,1.75,1.0,4.0,4.8,5.6
polo ralph lauren,brand_ralph_lauren_hoodie,new without tags,l,16,22.12,20.0,9.5,50.0,3.4,6.9
nike air,brand_nike_air_max_95,very good,7.5,16,35.39,32.46,18.72,55.0,9.9,7.8
adidas,brand_adidas,new with tags,xxl,16,16.06,12.5,6.0,35.0,2.1,4.1
asos design,womens_jumpers_and_sweaters,very good,s,16,6.0,5.0,2.0,16.0,6.9,4.9
new look,womens_dresses,new with tags,m,16,7.81,4.5,3.0,20.0,4.9,5.8
missguided,womens_dresses,very good,m,16,4.69,3.0,2.0,18.0,2.6,5.0
new look,womens_dresses,very good,xl,16,3.5,3.0,2.0,6.99,1.8,4.9
adidas,brand_adidas_shoes,new without tags,5.5,16,34.81,32.49,10.0,70.0,3.6,5.6
primark,womens_jeans,very good,l,16,2.44,2.0,1.0,5.0,5.4,6.3
nike,brand_nike,very good,6 years,16,5.81,5.0,3.0,10.0,2.8,4.3
f&f,womens_dresses,very good,s,16,3.19,3.0,1.5,6.0,4,5.4
tu,womens_jumpers_and_sweaters,very good,s,16,4.22,3.5,2.0,8.0,4.3,5
nike,brand_nike_tech_fleece_hoodie,new without tags,l,16,26.83,25.0,10.0,60.0,6.4,7.5
adidas,brand_adidas,new without tags,xs,16,14.97,6.25,3.0,55.0,3.8,4.6
marks & spencer,womens_dresses,very good,xl,16,5.62,6.0,3.0,15.0,1.8,5.8
the north face,jumpers_and_sweaters,very good,xl,16,11.12,10.0,4.5,18.99,2.4,5.4
adidas,brand_adidas,very good,one size,16,8.06,6.0,3.0,15.0,5.2,5.7
h&m,womens_outerwear,very good,xs,16,11.02,10.0,2.0,28.0,7.4,5.6
nike,brand_nike,very good,18-24 months,16,5.12,4.5,3.0,10.0,2.3,4.5
unknown,womens_tops_and_tshirts,very good,m,16,5.74,4.93,1.0,21.0,6.9,5.5
levi's,brand_levis,new without tags,xl,16,10.97,8.5,3.0,55.0,2.6,5.6
levi's,shorts,very good,w30,16,11.48,10.0,3.5,34.99,4.6,6.2
nike,mens_activewear,very good,s,16,17.1,13.47,5.0,65.0,15.6,7.7
supreme,brand_supreme_t_shirt,new without tags,l,16,31.4,30.0,15.0,60.0,5.8,9.3
new look,womens_dresses,new with tags,l,16,6.06,5.75,3.0,12.0,3.8,4.4
zara,womens_skorts,very good,xl,16,6.0,5.0,4.0,12.0,3.5,6.4
prettylittlething,womens_jeans,very good,s,16,4.62,4.0,3.0,8.0,3.8,6
h&m,brand_hm,new with tags,6-9 months,16,5.0,5.0,3.0,8.0,3.8,5.2
prettylittlething,womens_dresses,new with tags,s,16,7.38,7.0,1.0,15.0,4.6,5.4
nike,brand_nike_air_max_95,good,10,16,37.25,31.99,16.99,70.0,4.4,6.4
unknown,womens_tops_and_tshirts,new without tags,m,16,6.55,4.5,2.0,16.88,3.7,5.3
supreme,brand_supreme_t_shirt,good,xl,16,18.72,18.0,5.0,35.0,6.8,8.5
carhartt,brand_carhartt_jacket,very good,6 years,16,20.81,18.25,14.0,35.0,4.7,8.8
ralph lauren,brand_ralph_lauren_hoodie,new without tags,s,16,25.14,25.0,10.0,50.0,4.8,5.9
levi strauss & co.,brand_levis,very good,m,16,19.56,14.99,10.99,50.0,0.9,5.2
nike,brand_nike,good,3 junior | eu 36,15,5.9,5.0,3.0,14.99,2.3,5.1
adidas,brand_adidas_shoes,new with tags,9,15,41.13,33.0,12.0,100.0,1.6,5.7
nobody's child,womens_dresses,very good,m,15,14.8,14.0,5.0,35.0,2.9,5.1
adidas,tops_and_tshirts,very good,m,15,12.63,10.0,2.5,35.0,2.7,5.7
new balance,shoes,very good,9,15,42.99,40.0,18.0,70.0,3.1,4.7
nike,brand_nike_hoodie,very good,11 years,15,4.63,4.0,3.0,11.0,3.2,5.4
marks & spencer,womens_tops_and_tshirts,new without tags,m,15,4.13,4.0,1.0,10.0,1.8,4.8
arne,outerwear,very good,m,15,22.0,20.0,10.0,55.0,2.1,5.3
shein,womens_tops_and_tshirts,new without tags,l,15,2.77,2.0,1.0,8.0,7,6.0
tu,womens_outerwear,very good,m,15,6.47,4.0,3.0,22.0,5.5,5.3
levi's,brand_levis,new with tags,w30,15,26.44,24.0,12.0,43.0,5.3,4.9
h&m,outerwear,very good,m,15,7.17,6.0,2.0,15.0,2.9,6.5
asics,shoes,very good,7.5,15,42.27,40.0,25.0,80.0,1.9,4.9
barbour,outerwear,very good,m,15,63.5,40.0,12.0,195.5,6.3,4.6
adidas,brand_adidas_shoes,good,12 child | eu 31,15,5.47,4.0,3.0,12.0,3.5,5.7
unknown,brand_palace,good,unknown,15,14.63,9.71,3.99,40.0,5.9,7.9
h&m,womens_jumpers_and_sweaters,very good,l,15,4.24,3.0,2.16,10.0,4.5,5.5
nike,brand_nike,very good,4.5,15,20.17,20.0,3.0,60.0,3.7,5.2
nike,shoes,good,8.5,15,25.8,23.0,10.0,55.0,4.1,5.4
adidas,activewear,very good,xxl,15,12.3,10.0,3.5,49.99,2.4,5.6
ralph lauren,brand_polo_ralph_lauren,very good,xl,15,25.47,18.0,12.0,50.0,1.7,6.4
nike,brand_nike_t_shirt,very good,13 years,15,4.2,3.5,3.0,10.0,5.7,4.3
ralph lauren,brand_ralph_lauren_shirt,very good,5 years,15,7.13,6.0,3.0,16.0,5.6,5.3
h&m,brand_hm,very good,10 years,15,4.43,3.5,3.0,12.0,4.9,6.1
crew clothing company,womens_jumpers_and_sweaters,very good,m,15,8.07,7.0,2.5,18.0,1.9,4.2
nike air,brand_nike_air_max_95,good,10,15,34.77,30.0,13.0,70.0,8.2,8.4
george,womens_jumpers_and_sweaters,very good,s,15,3.9,3.0,1.0,17.0,5.5,4.8
under armour,activewear,new without tags,m,15,6.65,7.0,3.0,10.0,1.7,5.0
oh polly,womens_dresses,very good,m,15,17.57,12.0,4.0,40.0,4.5,4.5
levi's,brand_levis,very good,10 years,15,5.03,4.0,3.0,10.0,5.8,6.6
levi's,brand_levis,very good,14 years,15,6.73,6.0,3.0,13.0,4.4,5.8
ax paris,womens_dresses,very good,m,15,5.43,5.0,3.0,18.0,5.5,4.8
nike,brand_nike,very good,9 years,15,3.82,4.0,3.0,6.0,2.9,5.5
nike,brand_nike,very good,4 junior | eu 37,15,15.5,10.0,3.0,50.0,2.3,4.1
champion,jumpers_and_sweaters,very good,l,15,7.46,7.0,2.0,14.99,3.3,5.3
marks & spencer,trousers,very good,w32,15,6.66,4.9,2.5,20.0,2.9,5.3
superdry,tops_and_tshirts,very good,l,15,5.3,3.0,1.5,18.0,2.9,6.3
joules,womens_outerwear,very good,l,15,14.4,10.0,8.0,35.0,0.5,4.2
brandy melville,womens_tops_and_tshirts,very good,one size,15,6.56,5.37,3.0,12.0,1.2,5.1
